Model,Head_Coverage,Torso_Coverage,Tail_Coverage,Head_Tail_Ratio,Aggregate_Diversity,EPC,Gini_Coefficient
popularity,0.18181818181818182,0.029411764705882353,0.0,999.0,0.044642857142857144,0.6225280898876404,0.23970517545265202
cf,0.9772727272727273,0.9852941176470589,0.6607142857142857,1.4791154791154792,0.8214285714285714,0.8902815095261358,0.6567065052372663
cb,0.7954545454545454,0.6176470588235294,0.11607142857142858,6.8531468531468525,0.4017857142857143,0.8365605493133583,0.560502261217254
hybrid,0.8863636363636364,0.8823529411764706,0.6785714285714286,1.3062200956937797,0.78125,0.8973868378812199,0.6619514943964564
hybrid_no_context,1.0,1.0,0.7232142857142857,1.382716049382716,0.8616071428571429,0.8937620073353904,0.6597796291319536
hybrid_mmr_lambda_0.0,0.8863636363636364,0.8823529411764706,0.6785714285714286,1.3062200956937797,0.78125,0.8973868378812199,0.6619514943964564
hybrid_mmr_lambda_0.3,0.8636363636363636,0.8823529411764706,0.7142857142857143,1.209090909090909,0.7946428571428571,0.8998990026511804,0.6638634884457904
hybrid_mmr_lambda_0.5,0.9772727272727273,0.9411764705882353,0.7142857142857143,1.3681818181818182,0.8348214285714286,0.8938622844439104,0.6608022234825747
hybrid_mmr_lambda_0.7,1.0,0.9852941176470589,0.7321428571428571,1.3658536585365855,0.8616071428571429,0.8942364790126331,0.6605254275301458
hybrid_mmr_lambda_1.0,0.75,0.75,0.7857142857142857,0.9545454545454546,0.7678571428571429,0.9049614580611445,0.66650390625
hybrid_mab_mmr,0.8863636363636364,0.8970588235294118,0.6964285714285714,1.2727272727272727,0.7946428571428571,0.8985544754450195,0.6625232289352375
