Model,Gini_Coefficient,Coverage,Head_20_Mean,Tail_20_Mean,Head_Tail_Ratio
popularity,0.7924,0.2777,0.5613,0.0000,0
cf,0.9659,0.0449,0.0845,0.0000,0
cb,0.9106,0.1161,0.2310,0.0000,0
hybrid,0.9512,0.0648,0.1224,0.0000,0
hybrid_no_context,0.9530,0.0636,0.1208,0.0000,0
hybrid_mmr_lambda_0.0,0.9512,0.0648,0.1224,0.0000,0
hybrid_mmr_lambda_0.3,0.9547,0.0607,0.1150,0.0000,0
hybrid_mmr_lambda_0.5,0.9613,0.0513,0.1010,0.0000,0
hybrid_mmr_lambda_0.7,0.9638,0.0490,0.0943,0.0000,0
hybrid_mmr_lambda_1.0,0.9629,0.0484,0.0779,0.0000,0
hybrid_mab_mmr,0.9528,0.0630,0.1190,0.0000,0
