Model,Precision@10,Recall@10,NDCG@10,Diversity,Novelty,Precision_Std,Recall_Std,NDCG_Std,Diversity_Std,Novelty_Std,Users
popularity,0.0288,0.2410,0.1327,0.9111,0.3794,0.0477,0.4076,0.2457,0.0000,0.0000,1714.0000
cf,0.0045,0.0365,0.0169,0.8911,0.8625,0.0207,0.1778,0.0859,0.0408,0.0408,1714.0000
cb,0.0116,0.0954,0.0461,0.0565,0.7402,0.0320,0.2782,0.1411,0.1633,0.0580,1714.0000
hybrid,0.0067,0.0536,0.0244,0.5801,0.8793,0.0256,0.2141,0.1041,0.1375,0.0409,1714.0000
hybrid_no_context,0.0064,0.0536,0.0241,0.5411,0.8573,0.0244,0.2149,0.1055,0.1466,0.0442,1714.0000
hybrid_mmr_lambda_0.0,0.0067,0.0536,0.0244,0.5801,0.8793,0.0256,0.2141,0.1041,0.1375,0.0409,1714.0000
hybrid_mmr_lambda_0.3,0.0062,0.0495,0.0229,0.6569,0.8883,0.0249,0.2052,0.1018,0.1502,0.0404,1714.0000
hybrid_mmr_lambda_0.5,0.0052,0.0427,0.0201,0.7468,0.8988,0.0224,0.1925,0.0972,0.1536,0.0398,1714.0000
hybrid_mmr_lambda_0.7,0.0050,0.0402,0.0188,0.9265,0.9144,0.0220,0.1860,0.0941,0.0927,0.0390,1714.0000
hybrid_mmr_lambda_1.0,0.0048,0.0414,0.0155,0.9776,0.8826,0.0215,0.1907,0.0806,0.0020,0.0207,1714.0000
hybrid_mab_mmr,0.0065,0.0516,0.0237,0.6003,0.8818,0.0253,0.2095,0.1030,0.1484,0.0414,1714.0000
