,Base_Diversity,Context_Diversity,Diversity_Gain,Base_Novelty,Context_Novelty,Novelty_Gain
popularity,0.9111111111111113,0.9009758068593448,-0.010135304251766614,0.3793721973094169,0.4155259859621997,0.03615378865278278
cf,0.8910540645663168,0.8762726096239007,-0.014781454942416042,0.86251576309056,0.9115978486525962,0.04908208556203621
cb,0.05646311422274082,0.09052024807350685,0.03405713385076603,0.7401962733699263,0.7341063710773184,-0.00608990229260793
hybrid,0.5801115000648256,0.5604980482634777,-0.019613451801347832,0.8792722553908462,0.9163545553826846,0.0370822999918384
hybrid_no_context,0.5411253727473098,0.6971539743244524,0.1560286015771426,0.8572698588778249,0.9801705756819237,0.12290071680409873
hybrid_mmr_lambda_0.0,0.5801115000648256,0.6141004243328418,0.03398892426801621,0.8792722553908462,0.8644553810122325,-0.014816874378613676
hybrid_mmr_lambda_0.3,0.6568520679372488,0.6619446689353479,0.005092600998099085,0.8882916210997797,0.8764024552665387,-0.011889165833240919
hybrid_mmr_lambda_0.5,0.7468429923505769,0.7872602321618685,0.040417239811291555,0.8987970341843222,0.9224279030622513,0.02363086887792906
hybrid_mmr_lambda_0.7,0.9264618177103591,0.9296246794500446,0.0031628617396854443,0.9143811711518437,0.8988302556718654,-0.015550915479978345
hybrid_mmr_lambda_1.0,0.9775962660443407,0.9793650285644371,0.001768762520096355,0.8826250189680342,0.8853878515099065,0.0027628325418722934
hybrid_mab_mmr,0.6002593024763386,0.7597002292270483,0.15944092675070964,0.8817558905557502,0.9955116376912715,0.1137557471355213
