destination_id,category_id
1,9
2,1
3,7
4,7
5,2
6,9
7,4
8,7
9,5
10,9
11,6
12,1
13,6
14,7
15,9
16,2
17,5
18,5
19,2
20,2
21,2
22,2
23,5
24,7
25,1
26,5
27,5
28,6
29,6
30,5
31,7
32,2
33,6
34,6
35,5
36,6
37,1
38,1
39,7
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,3
52,7
53,2
54,1
55,2
56,5
57,2
58,9
59,2
60,5
61,5
62,5
63,5
64,4
65,7
66,9
67,9
68,5
69,9
70,9
71,5
72,2
73,5
74,7
75,1
76,1
77,9
78,6
79,7
80,7
81,2
82,4
83,9
84,6
85,5
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,4
94,7
95,5
96,6
97,9
98,5
99,7
100,2
101,4
102,4
103,4
104,4
105,4
106,9
107,4
108,5
109,5
110,7
111,2
112,2
113,5
114,2
115,2
116,6
117,9
118,3
119,5
120,5
121,2
122,5
123,5
124,5
125,6
126,5
127,5
128,5
129,8
130,5
131,5
132,7
133,7
134,5
135,5
136,5
137,6
138,9
139,7
140,7
141,9
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,6
158,5
159,2
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,2
175,5
176,7
177,6
178,7
179,7
180,7
181,7
182,5
183,5
184,5
185,5
186,9
187,9
188,5
189,9
190,2
191,5
192,5
193,6
194,2
195,2
196,2
197,7
198,9
199,5
200,5
201,7
202,7
203,7
204,7
205,7
206,9
207,5
208,9
209,5
210,5
211,5
212,5
213,5
214,6
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,2
223,5
224,5
225,9
226,5
227,4
228,9
229,5
230,5
231,4
